filename	source_url	bytes	status
rating-games_2B4C898E9ABE00FE1766B94B8035F832.sgf	https://katagotraining.org/sgf-files/rating-games/2B4C898E9ABE00FE1766B94B8035F832.sgf	4593	existing
rating-games_92EF54CD6AD80665B85DA7958F3931FB.sgf	https://katagotraining.org/sgf-files/rating-games/92EF54CD6AD80665B85DA7958F3931FB.sgf	7017	existing
training-games_72EA4858C5B451F61D9745C9A50F4EB5.sgf	https://katagotraining.org/sgf-files/training-games/72EA4858C5B451F61D9745C9A50F4EB5.sgf	14414	existing
rating-games_C9D51CECDB98EAB9F30F1E00ACCA01F7.sgf	https://katagotraining.org/sgf-files/rating-games/C9D51CECDB98EAB9F30F1E00ACCA01F7.sgf	5766	existing
rating-games_72F28BB4BA7031D3F29CAFB0EB6D1D1E.sgf	https://katagotraining.org/sgf-files/rating-games/72F28BB4BA7031D3F29CAFB0EB6D1D1E.sgf	8431	existing
rating-games_07074661BEB331BD778A1CB8B360F905.sgf	https://katagotraining.org/sgf-files/rating-games/07074661BEB331BD778A1CB8B360F905.sgf	4488	existing
rating-games_5841A18D3E49FA637593B2814212B0B8.sgf	https://katagotraining.org/sgf-files/rating-games/5841A18D3E49FA637593B2814212B0B8.sgf	7035	existing
rating-games_48042AED0B8FF012B166A0A062F337AF.sgf	https://katagotraining.org/sgf-files/rating-games/48042AED0B8FF012B166A0A062F337AF.sgf	5268	existing
training-games_F41A131A1AE83D04208FF64945E31786.sgf	https://katagotraining.org/sgf-files/training-games/F41A131A1AE83D04208FF64945E31786.sgf	15569	existing
training-games_44547A84B80F401251B56B2DC492EE55.sgf	https://katagotraining.org/sgf-files/training-games/44547A84B80F401251B56B2DC492EE55.sgf	15493	existing
rating-games_9D7C46EBD2A5FB0C2F696529F532C6C8.sgf	https://katagotraining.org/sgf-files/rating-games/9D7C46EBD2A5FB0C2F696529F532C6C8.sgf	5804	existing
rating-games_E894B6F780984549A54FAACE66A7DA95.sgf	https://katagotraining.org/sgf-files/rating-games/E894B6F780984549A54FAACE66A7DA95.sgf	7323	existing
training-games_FD614CABA29B6A1AF83D474A33FA64E8.sgf	https://katagotraining.org/sgf-files/training-games/FD614CABA29B6A1AF83D474A33FA64E8.sgf	18101	existing
rating-games_0120384B8DBAABB25703DDBABEDC727D.sgf	https://katagotraining.org/sgf-files/rating-games/0120384B8DBAABB25703DDBABEDC727D.sgf	7001	existing
training-games_794177247D1CE5A4E6FDA6ECC6DD565C.sgf	https://katagotraining.org/sgf-files/training-games/794177247D1CE5A4E6FDA6ECC6DD565C.sgf	16865	existing
training-games_079E43E3F29E39A4B8AF0FDE1E4ABC63.sgf	https://katagotraining.org/sgf-files/training-games/079E43E3F29E39A4B8AF0FDE1E4ABC63.sgf	15540	existing
training-games_3C47C156AA0E8F7B24B4A4F9430A3D1E.sgf	https://katagotraining.org/sgf-files/training-games/3C47C156AA0E8F7B24B4A4F9430A3D1E.sgf	17446	existing
training-games_A097C813F62F096C273AB47E3DF75264.sgf	https://katagotraining.org/sgf-files/training-games/A097C813F62F096C273AB47E3DF75264.sgf	14236	existing
training-games_B20DB0E353BFA92566F1DFD3DFA32C55.sgf	https://katagotraining.org/sgf-files/training-games/B20DB0E353BFA92566F1DFD3DFA32C55.sgf	10773	existing
rating-games_CE981739413591A725951ABB5E36CAEE.sgf	https://katagotraining.org/sgf-files/rating-games/CE981739413591A725951ABB5E36CAEE.sgf	8450	existing
training-games_2090B88000BAB1E672BDA5BE1CFCBABA.sgf	https://katagotraining.org/sgf-files/training-games/2090B88000BAB1E672BDA5BE1CFCBABA.sgf	17848	existing
rating-games_21EC3EC10851F0F5BD8AB23A443764CB.sgf	https://katagotraining.org/sgf-files/rating-games/21EC3EC10851F0F5BD8AB23A443764CB.sgf	5898	existing
rating-games_3D241230CE645C7D173CA7426DDF3C49.sgf	https://katagotraining.org/sgf-files/rating-games/3D241230CE645C7D173CA7426DDF3C49.sgf	8045	existing
training-games_F5E484A19C33344D3CEC2711E6352953.sgf	https://katagotraining.org/sgf-files/training-games/F5E484A19C33344D3CEC2711E6352953.sgf	15569	existing
training-games_97D7C0D3515B39DB18EFADDBB065E170.sgf	https://katagotraining.org/sgf-files/training-games/97D7C0D3515B39DB18EFADDBB065E170.sgf	15218	existing
training-games_A6A1589D1DBD6C94F60FAAD0AAE4F6F1.sgf	https://katagotraining.org/sgf-files/training-games/A6A1589D1DBD6C94F60FAAD0AAE4F6F1.sgf	15346	existing
rating-games_25828264F2EBBC3177A50AE5A94CAEC3.sgf	https://katagotraining.org/sgf-files/rating-games/25828264F2EBBC3177A50AE5A94CAEC3.sgf	5602	existing
rating-games_14828B527ACC78D5ABCC5800209BA435.sgf	https://katagotraining.org/sgf-files/rating-games/14828B527ACC78D5ABCC5800209BA435.sgf	4371	existing
training-games_D51E42E54BEFB79EB0823C46C8D4BAEF.sgf	https://katagotraining.org/sgf-files/training-games/D51E42E54BEFB79EB0823C46C8D4BAEF.sgf	15897	existing
rating-games_046F70C8AFDD97DB83CC441071180404.sgf	https://katagotraining.org/sgf-files/rating-games/046F70C8AFDD97DB83CC441071180404.sgf	8465	existing
training-games_003CE381EDBCCF6AF2C424CB0FC30E82.sgf	https://katagotraining.org/sgf-files/training-games/003CE381EDBCCF6AF2C424CB0FC30E82.sgf	16873	existing
